CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
9,extension,08429,BHUBANESWAR -DASAPALLA SPECIAL,,DASAPALLA,,04.01.2024
9,extension,08430,NUAGAON ROAD BHUBANESW AR SPECIAL,,DASAPALLA,,04.01.2024
9,extension,08423,PURI -DASAPALLA SPECIAL,,DASAPALLA,,04.01.2024
9,extension,08424,DASAPALLA- PURI SPECIAL,,DASAPALLA,,04.01.2024
9,extension,08555,BHADRAK - DASAPALLA MEMU SPECIAL,,DASAPALLA,,04.01.2024
9,extension,08556,DASAPALLA - BHADRAK MEMU SPECIAL,,DASAPALLA,,04.01.2024
156,stoppage,12789/12790,Kacheguda-Mangaluru Central Express,,,Nileshwar,01.03.2024
178,stoppage,18029/18030,Lokmanya Tilak (T)- Shalimar Express,,,Galudih,07.03.2024
12,stoppage,13433/13434,SMVT Bengaluru-Malda Town Amrit Bharat Express,,,Pakur,06.01.2024
235,stoppage,13005/13006,Howrah-Amritsar Express,,,Sirhind,15.03.2024
